,Day 1,Day 2,Day 3,Day 4,Day 5,Stock
MMM Week 2,-0.014114994883069554,0.008849512614969912,0.0024583889368063883,0.008917657562391934,-0.012595286297005903,MMM
MMM Week 4,0.0008688627893227441,0.005497667427457387,-0.02561149322729317,0.005079743619901933,-0.04149034677157715,MMM
MMM Week 5,0.017903115019456628,0.008492882586645045,-0.004598871452875963,-0.013620570158291878,-0.022264150347942935,MMM
MMM Week 6,0.0027375253723773696,0.00769377370014146,0.007573398804288312,-0.023832766505932135,-0.0012521109312206846,MMM
MMM Week 7,-0.009590064207617433,-0.0042402265188125066,-0.010868129495858692,-0.044914253510609625,-0.006862246209965783,MMM
MMM Week 9,-0.012357987364533973,-0.02623608514373854,0.017063911714702007,0.007335972164784987,-0.010586697855095806,MMM
MMM Week 10,-0.02351255400189911,0.014796169285659078,0.008253179211861417,-0.018212914847009265,-0.020634934433744423,MMM
MMM Week 11,0.017877333240960747,0.005784791300320391,0.008315411049431676,0.014981843288214058,0.004265724642143143,MMM
MMM Week 12,0.0017529294363343162,0.009153322072898984,-0.015072760629760373,0.00880283800265258,0.009934293386843818,MMM
MMM Week 13,-0.006579858095093538,0.017461701940429508,-0.004274126429821612,-0.0168393839814045,0.005440606743876142,MMM
MMM Week 14,-0.0010689001235870688,-0.0042132340530703916,0.009402345283148428,-0.00232871654297373,-0.0009336404968167678,MMM
MMM Week 16,-0.008142299954362331,0.02681634713465031,0.00326442514623948,0.007835898554128695,-0.017131225079548895,MMM
MMM Week 17,-0.003821090517036385,-0.029475132590246034,-6.930042124075886e-05,0.02031754066550162,-0.019845033172881332,MMM
MMM Week 18,0.01171822512204801,0.014872168559261212,0.041531562806846445,-0.030927764674898106,0.0004682996272284967,MMM
MMM Week 19,0.019059761431030164,-0.021393947113547473,-0.01817322655455056,0.021719777311939525,-0.0019385874271818926,MMM
MMM Week 20,0.008037487767673879,0.01222588928830981,-0.022384165314970672,-0.01322759725237277,-0.021298344718414852,MMM
MMM Week 21,0.003823980009427075,0.009488814730955752,0.0002743964743245897,0.008573976662079374,0.016798159232071175,MMM
MMM Week 23,0.0016442110786940578,0.004513975603680276,-0.009872656066238994,-0.00852706305032036,-0.045290602795222346,MMM
MMM Week 24,-0.009298938147861202,-0.008212914550778216,-0.006802204576305426,-0.02523635333461849,-0.00840084071334779,MMM
MMM Week 26,-0.011389851547989549,-0.018599406354986803,-0.004296766291154275,-0.0027741434730611525,-0.007109173502130806,MMM
MMM Week 27,0.005603558175125478,0.004875703051533176,0.001617426985446535,-0.010226849672009375,0.0022528999641291403,MMM
MMM Week 28,0.009224110472644043,-0.014055313932013092,-0.0004673799242492782,0.014184454515226985,-0.00937524917333088,MMM
MMM Week 29,0.024978676047075377,0.006660028695252951,0.00706715645611089,0.0012691166317160274,0.0,MMM
MMM Week 31,0.0008377206966334594,-0.011230472959661175,0.01227517102761233,0.032266983391006976,-0.004793353216872576,MMM
MMM Week 32,0.007258612297997846,-0.004310340840949611,0.01041672472314037,0.0018744060124815665,0.017239087050135327,MMM
MMM Week 33,-0.0053206305054894765,-0.007726330486261923,-0.01883403390465277,-0.005087160260865975,-0.010089963194983342,MMM
MMM Week 34,-0.024862263679236718,0.0011300492001393714,-0.005008865706294108,0.01219513118675275,-0.09540484478328637,MMM
MMM Week 35,-0.020907518669684988,-0.012496059795529368,-0.004084591812729688,0.010293516646590506,-0.03168029781542303,MMM
MMM Week 36,-0.04151256052950825,0.033876540560276336,-0.010618053722834309,0.032112031012430986,0.00934201088654496,MMM
MMM Week 37,-0.03042252538669521,-0.024404436055579626,-0.009444402466437296,0.0016320429856950813,0.0002572573461954164,MMM
MMM Week 38,-0.0010288301372597397,-0.014675584738565228,-0.005835712770600576,-0.010075359488596614,8.852231542233469e-05,MMM
MMM Week 40,0.02461539566247173,0.021197681505059407,-0.003892099696823581,-0.03516536847054785,-0.032397462333813354,MMM
MMM Week 41,0.00874258250329718,0.003503570501803166,0.0010106634881728027,0.048738002172784345,-0.005513783222770741,MMM
MMM Week 42,0.0020241429419436407,0.018355843375084335,-0.015092712773258299,-0.009544626681423085,0.03271149260256978,MMM
