Date,Adj Close,Volume
2023-03-02,376.01434326171875,864600
2023-03-03,379.2148132324219,782800
2023-03-06,377.3660888671875,773200
2023-03-07,373.12200927734375,693400
2023-03-08,385.0591125488281,962300
2023-03-09,376.17340087890625,959800
2023-03-10,365.2799072265625,1142600
2023-03-13,362.6062316894531,1246400
2023-03-14,376.72003173828125,1362800
2023-03-15,368.0628967285156,1013400
2023-03-16,387.5340270996094,1355700
2023-03-17,385.3970642089844,3033500
2023-03-20,387.57379150390625,876000
