Date,Adj Close,Volume
2023-03-02,95.21660614013672,1976200
2023-03-03,96.25611114501953,1632200
2023-03-06,95.75093078613281,1717300
2023-03-07,93.22502899169922,1977600
2023-03-08,92.03009796142578,1836900
2023-03-09,88.11495208740234,2459700
2023-03-10,85.99708557128906,4192600
2023-03-13,79.83778381347656,6310700
2023-03-14,81.28530883789062,4857400
2023-03-15,77.87535858154297,5423700
2023-03-16,79.84749603271484,5200200
2023-03-17,75.79634094238281,16323500
2023-03-20,78.02108001708984,3254000
